id,first_name,email,subject,returning_2024,preferred_day,satisfaction
1,James,JamesSmith@gmail.com,Maths,TRUE,Monday,7
2,Christopher,ChristopherAnderson@gmail.com,English,TRUE,Monday,8
3,Ronald,RonaldClark@gmail.com,Maths,TRUE,Monday,10
4,Mary,MaryWright@gmail.com,English,TRUE,Monday,9
5,Lisa,LisaMitchell@gmail.com,Maths,TRUE,Monday,9
6,Michelle,MichelleJohnson@gmail.com,English,FALSE,,5
7,John,JohnThomas@gmail.com,Maths,FALSE,,9
8,Daniel,DanielRodriguez@gmail.com,English,FALSE,,3
9,Anthony,AnthonyLopez@gmail.com,Maths,FALSE,,4
10,Patricia,PatriciaPerez@gmail.com,English,TRUE,Monday,10
11,Nancy,NancyWilliams@hotmail.com,Maths,TRUE,Monday,9
12,Laura,LauraJackson@hotmail.com,English,TRUE,Monday,7
13,Robert,RobertLewis@hotmail.com,Maths,TRUE,Monday,10
14,Paul,PaulHill@hotmail.com,English,TRUE,Monday,8
15,Kevin,KevinRoberts@hotmail.com,Maths,TRUE,Monday,7
16,Linda,LindaJones@hotmail.com,English,TRUE,Monday,10
17,Karen,KarenWhite@hotmail.com,Maths,FALSE,,6
18,Sarah,SarahLee@hotmail.com,English,FALSE,,5
19,Michael,MichaelScott@hotmail.com,Maths,TRUE,Monday,10
20,Mark,MarkTurner@hotmail.com,English,TRUE,Monday,10
21,Jason,JasonBrown@aol.com,Maths,TRUE,Monday,8
22,Barbara,BarbaraHarris@aol.com,English,TRUE,Monday,8
23,Betty,BettyWalker@aol.com,Maths,TRUE,Monday,10
24,Kimberly,KimberlyGreen@aol.com,Maths,TRUE,Monday,8
25,William,WilliamPhillips@aol.com,English,TRUE,Monday,10
26,Donald,DonaldDavis@aol.com,Maths,TRUE,Monday,10
27,Jeff,JeffMartin@aol.com,English,TRUE,Wednesday,7
28,Elizabeth,ElizabethHall@aol.com,Maths,TRUE,Wednesday,10
29,Helen,HelenAdams@aol.com,English,TRUE,Wednesday,8
30,Deborah,DeborahCampbell@aol.com,Maths,TRUE,Wednesday,7
31,David,DavidMiller@yahoo.com,English,TRUE,Wednesday,7
32,George,GeorgeThompson@yahoo.com,Maths,TRUE,Wednesday,7
33,Jennifer,JenniferAllen@yahoo.com,English,TRUE,Wednesday,8
34,Sandra,SandraBaker@yahoo.com,Maths,FALSE,,7
35,Richard,RichardParker@yahoo.com,English,TRUE,Wednesday,10
36,Kenneth,KennethWilson@yahoo.com,Maths,TRUE,Wednesday,9
37,Maria,MariaGarcia@yahoo.com,English,TRUE,Wednesday,9
38,Donna,DonnaYoung@yahoo.com,Maths,FALSE,,3
39,Charles,CharlesGonzalez@yahoo.com,English,TRUE,Wednesday,10
40,Steven,StevenEvans@yahoo.com,Maths,TRUE,Wednesday,10
41,Susan,SusanMoore@yahoo.com,English,TRUE,Wednesday,9
42,Carol,CarolMartinez@facebook.com,Maths,TRUE,Friday,9
43,Joseph,JosephHernandez@facebook.com,English,TRUE,Friday,10
44,Edward,EdwardNelson@facebook.com,Maths,TRUE,Friday,8
45,Margaret,MargaretEdwards@facebook.com,English,TRUE,Friday,7
46,Ruth,RuthTaylor@facebook.com,Maths,TRUE,Friday,8
47,Thomas,ThomasRobinson@facebook.com,Maths,TRUE,Friday,8
48,Brian,BrianKing@facebook.com,Maths,TRUE,Friday,7
49,Dorothy,DorothyCarter@facebook.com,Maths,TRUE,Friday,10
50,Sharon,SharonCollins@facebook.com,Maths,TRUE,Friday,9
